10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,21,15,15,15,15,15,15,20,10,10,10,10,10,10,10,10,10,21,15,15,15,15,15,15,15,15,15,15,15,15,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,15,15,15,15,15,15,15,15,15,15,20,10,10
10,21,14,00,18,11,12,07,02,16,20,10,10,10,10,10,10,10,10,13,09,09,09,09,09,09,09,09,09,09,09,09,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,15,15,15,15,15,15,15,15,20,10,10,10,10,21,15,15,14,09,09,09,09,09,09,09,09,09,09,17,10,10
10,13,07,00,17,10,19,12,04,09,17,10,10,10,10,10,10,10,10,19,11,11,12,09,09,00,03,09,18,11,12,09,16,20,10,10,10,10,10,10,10,10,10,10,10,21,15,15,15,15,15,15,20,10,10,10,10,10,21,14,09,09,09,09,09,09,09,09,16,20,10,10,21,14,09,09,09,41,25,25,25,44,25,25,25,38,09,16,20,10
10,13,00,00,16,15,15,14,09,18,22,10,10,10,10,10,10,10,10,10,10,21,14,09,08,03,09,18,22,10,13,09,09,17,10,10,10,10,21,15,15,15,15,15,15,14,09,09,09,09,09,09,17,10,10,10,10,21,14,09,09,09,09,09,09,09,09,09,09,16,20,21,14,09,09,09,09,31,09,09,09,09,08,02,09,27,09,09,17,10
10,13,05,04,08,01,02,09,18,22,10,10,10,10,10,10,10,10,10,10,10,13,09,08,00,03,18,22,10,10,13,09,09,16,15,15,15,15,14,09,09,09,09,09,09,09,09,09,09,09,09,09,16,20,10,10,10,13,09,09,09,09,09,09,09,09,09,09,09,09,16,14,09,09,09,09,09,31,09,08,00,00,00,04,09,27,09,09,17,10
10,13,09,09,07,00,00,03,16,15,15,20,10,10,10,10,10,10,10,10,10,13,09,00,00,09,16,15,20,10,13,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,32,24,24,26,09,09,09,17,10,10,10,13,09,09,09,09,00,00,00,00,09,09,09,09,09,09,09,09,09,09,09,31,09,06,05,00,05,09,09,27,09,09,17,10
10,19,12,09,00,00,00,03,09,09,09,16,15,15,20,10,10,10,10,10,21,14,09,07,03,09,09,09,17,21,14,09,09,09,09,09,09,09,09,09,09,09,09,09,09,32,24,24,24,24,09,09,09,17,10,10,21,14,09,09,09,00,00,00,00,00,00,09,09,09,09,09,09,09,09,09,09,40,29,35,09,06,09,34,29,39,09,09,17,10
10,10,19,11,11,11,11,11,11,12,09,09,09,09,17,10,10,21,15,15,14,09,18,12,09,09,09,09,16,14,09,09,09,09,09,09,09,09,09,09,09,09,09,09,32,24,47,47,24,24,09,09,09,16,15,15,14,09,09,09,09,00,00,00,00,00,00,00,00,09,09,09,09,09,09,09,09,09,09,31,09,09,09,27,09,09,09,09,17,10
10,10,10,10,10,10,10,10,10,19,12,09,02,09,16,15,15,14,09,09,09,18,22,19,12,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,24,24,47,24,24,28,09,09,09,09,09,09,09,09,09,09,09,00,00,00,00,00,00,00,00,00,09,09,09,09,09,09,09,09,09,40,28,09,30,39,09,09,09,09,17,10
