tileswide 30
tileshigh 20
tilewidth 32
tileheight 32

layer 0
15,20,21,15,14,9,1,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,15,15,
9,17,13,9,2,9,7,16,15,20,10,10,10,10,10,10,10,10,10,21,15,15,15,15,15,15,15,14,9,9,
9,16,14,0,18,11,12,7,2,16,20,10,10,10,10,10,10,10,10,13,9,9,9,9,9,9,9,9,9,9,
9,9,7,0,17,10,19,12,4,9,17,10,10,10,10,10,10,10,10,19,11,11,12,9,9,0,3,9,18,11,
9,9,0,0,16,15,15,14,9,18,22,10,10,10,10,10,10,10,10,10,10,21,14,9,8,3,9,18,22,10,
12,9,5,4,8,1,2,9,18,22,10,10,10,10,10,10,10,10,10,10,10,13,9,8,0,3,18,22,10,10,
13,9,9,9,7,0,0,3,16,15,15,20,10,10,10,10,10,10,10,10,10,13,9,0,0,9,16,15,20,10,
19,11,12,9,0,0,0,3,9,9,9,16,15,15,20,10,10,10,10,10,21,14,9,7,3,9,9,9,17,21,
10,10,19,11,11,11,11,11,11,12,9,9,9,9,17,10,10,21,15,15,14,9,18,12,9,9,9,9,16,14,
10,10,10,10,10,10,10,10,10,19,12,9,2,9,16,15,15,14,9,9,9,18,22,19,12,9,9,9,9,9,
10,10,10,10,10,10,10,10,10,10,13,9,6,9,9,9,9,9,9,18,11,22,10,10,19,11,12,9,7,0,
10,10,10,10,10,10,10,10,10,10,13,9,9,9,9,8,1,2,9,17,10,10,10,10,10,10,19,12,7,0,
10,10,10,10,10,10,10,10,10,21,14,9,1,2,9,6,4,9,9,16,20,10,10,10,10,10,21,14,6,0,
10,10,10,10,10,10,10,21,15,14,9,8,0,3,18,12,9,9,9,9,16,15,20,10,10,21,14,9,9,6,
21,15,20,10,10,10,10,13,9,9,0,0,0,4,17,19,11,12,9,9,9,9,16,15,15,14,9,9,9,18,
13,9,16,20,10,10,10,13,9,0,0,0,0,9,17,10,10,19,11,12,9,9,9,9,1,1,1,9,18,22,
13,1,9,17,10,10,10,13,9,0,0,0,4,18,22,10,10,10,10,19,11,12,9,9,6,0,0,9,17,10,
13,5,4,17,10,10,10,13,9,9,6,4,9,17,10,10,10,10,10,10,10,19,11,11,12,9,9,18,22,10,
19,11,11,22,10,10,10,19,12,18,12,9,18,22,10,10,10,10,10,10,10,10,10,10,19,11,11,22,10,10,
10,10,10,10,10,10,10,10,19,22,19,11,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,23,23,23,23,23,23,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
